_id,event,participantId,timestamp,appName,category,sceneName,eventName,deviceId,turnsCompleted,timeTakenToComplete,totalTurnsCompleted,gamesCompleted,timeTakenInGame,timeSpentInGame,version
654465a2a37666f0d1b7cbac,,27,2023-11-03 03:14:42.500,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
654465a2a37666f0d1b7cbae,,28,2023-11-03 03:14:42.507,Top Of The Class,Event,Online,Player: 0 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,61.3133430480957,,,,,
654465a2a37666f0d1b7cbb2,,28,2023-11-03 03:14:42.524,Top Of The Class,Event,Online,Player: 2 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
654465a2a37666f0d1b7cbb1,,28,2023-11-03 03:14:42.518,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654465cda37666f0d1b7cbb4,,29,2023-11-03 03:15:25.648,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654465cfa37666f0d1b7cbb6,,29,2023-11-03 03:15:27.786,Top Of The Class,Event,Main Menu,Player Chose Online Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654465d1a37666f0d1b7cbb8,,30,2023-11-03 03:15:29.745,Top Of The Class,Event,Lobby,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654465f5a37666f0d1b7cbba,,29,2023-11-03 03:16:05.945,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654465f5a37666f0d1b7cbbc,,29,2023-11-03 03:16:05.954,Top Of The Class,Event,Online,Player: 0 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,24.303613662719727,,,,,
654465f5a37666f0d1b7cbbe,,29,2023-11-03 03:16:05.965,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
65446606a37666f0d1b7cbc0,,30,2023-11-03 03:16:22.532,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65446606a37666f0d1b7cbc2,,30,2023-11-03 03:16:22.598,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
6544660ba37666f0d1b7cbc4,,30,2023-11-03 03:16:27.299,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
6544660ba37666f0d1b7cbc6,,30,2023-11-03 03:16:27.308,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
65446612a37666f0d1b7cbc8,,30,2023-11-03 03:16:34.252,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
65446612a37666f0d1b7cbca,,30,2023-11-03 03:16:34.261,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,3.0,0.0,,,,,
6544665da37666f0d1b7cbcc,,31,2023-11-03 03:17:48.998,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544665da37666f0d1b7cbce,,31,2023-11-03 03:17:49.530,Top Of The Class,Event,Main Menu,Player Chose Online Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544665ea37666f0d1b7cbd0,,32,2023-11-03 03:17:50.234,Top Of The Class,Event,Lobby,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65446691a37666f0d1b7cbd2,,31,2023-11-03 03:18:41.299,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65446691a37666f0d1b7cbd4,,31,2023-11-03 03:18:41.311,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
654466a3a37666f0d1b7cbd6,,31,2023-11-03 03:18:59.502,Top Of The Class,Event,Online,Player: 1 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,57.000370025634766,,,,,
654466a3a37666f0d1b7cbd8,,31,2023-11-03 03:18:59.513,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
654466a3a37666f0d1b7cbda,,31,2023-11-03 03:18:59.596,Top Of The Class,Event,Online,Player: 0 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
654466dda37666f0d1b7cbdc,,33,2023-11-03 03:19:57.300,Top Of The Class,Event,Lobby,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654466dfa37666f0d1b7cbde,,34,2023-11-03 03:19:59.374,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
654466e1a37666f0d1b7cbe0,,34,2023-11-03 03:20:01.727,Top Of The Class,Event,Main Menu,Player Chose Online Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65446705a37666f0d1b7cbe2,,34,2023-11-03 03:20:37.130,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65446705a37666f0d1b7cbe4,,34,2023-11-03 03:20:37.140,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
65446718a37666f0d1b7cbe6,,33,2023-11-03 03:20:56.942,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65446719a37666f0d1b7cbe8,,33,2023-11-03 03:20:57.004,Top Of The Class,Event,Online,Player: 0 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
